STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,TAX,Income Tax,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,TUR,Türkiye,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2002,,40.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,TUR,Türkiye,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2001,,40.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,TUR,Türkiye,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2000,,40.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2022,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2021,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2020,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2019,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2018,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2017,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2016,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2015,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2014,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2013,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2012,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2011,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2010,,30,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2009,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2008,,28,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2007,,20.72687,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2006,,21.530653,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2005,,22.506127,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2004,,26.378269,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2003,,28.96732,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,MEX,Mexico,PERS_ITAX,Personal income tax,2002,,35,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_TABLE_I7(1.0),Table I.7. Top statutory personal income tax rates,I,TUR,Türkiye,PER_ARATE,Personal income tax & employee social security contributions (All-in rate),2019,,45.5,,A,,PC,Percentage,0,Units,,
